Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
43,I am a developer by profession,Yes,NA,16,Yearly,135000,135000,United States,United States dollar,USD,Oracle,Oracle,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA,NA,NA,Very dissatisfied,I am not interested in new job opportunities,Dart;HTML/CSS;Java;JavaScript;SQL,Dart;HTML/CSS;Java;JavaScript;SQL,Flutter,Flutter,Jira;Github,Jira;Github,Yes,Extremely important,Very important,NA,NA,Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,"1,000 to 4,999 employees",Linux,Linux,I have some influence,NA,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,NA,"Computer science, computer engineering, or software engineering",NA,ASP.NET,Just as welcome now as I felt last year,45,36,29
44,I am a developer by profession,No,32,21,Yearly,244000,55893,Brazil,Brazilian real,BRL,Microsoft SQL Server,Microsoft SQL Server,"Data or business analyst;Developer, back-end;Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Specific department or team I’d be working on;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;Python;R;SQL,HTML/CSS;Python;R;SQL;VBA,NA,NA,Github;Slack;Trello,Github;Slack;Trello,No,Somewhat important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my teammates;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,10 to 19 employees,Linux;Windows,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",NA,NA,Just as welcome now as I felt last year,45,10,6
45,I am a developer by profession,Yes,22,13,Yearly,34000,36753,France,European Euro,EUR,Elasticsearch;MongoDB,Elasticsearch;MongoDB;MySQL,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Java;Python;Rust,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;Scala;TypeScript,NA,Ansible;Cordova;Node.js,Gitlab;Slack,"Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Better compensation;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Panic;Do other work and come back later,Windows,"10,000 or more employees",Linux,Heroku;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Flask,Angular;Flask;jQuery;Spring,A lot less welcome now than last year,35,9,2
46,I am a developer by profession,Yes,24,14,Yearly,35000,37834,France,European Euro,EUR,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Specific department or team I’d be working on;How widely used or impactful my work output would be,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;Go;Python,Bash/Shell/PowerShell;C#;C++,.NET;.NET Core;Unity 3D,.NET;.NET Core;Unity 3D,Github;Slack;Microsoft Azure,Github;Slack;Microsoft Azure,No,Extremely important,Fairly important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,2 to 9 employees,Arduino;Linux;Raspberry Pi;Windows,Kubernetes;Microsoft Azure;Windows,I have a great deal of influence,Queer,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat more welcome now than last year,35,6,4
47,I am a developer by profession,Yes,53,10,Yearly,58000,74970,United Kingdom,Pound sterling,GBP,PostgreSQL;SQLite,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,"Data scientist or machine learning specialist;Developer, back-end;Developer, QA or test;Engineer, data;Scientist","Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Java;Python;SQL,Bash/Shell/PowerShell;C#;Java;JavaScript;Python;Ruby;SQL,Pandas,.NET;.NET Core,Github;Gitlab,"Confluence;Jira;Github;Gitlab;Microsoft Azure;Google Suite (Docs, Meet, etc)",Yes,Neutral,Not at all important/not necessary,Just because;Having a bad day (or week or month) at work;Curious about other opportunities;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,10 to 19 employees,Arduino;Docker;Linux;Raspberry Pi,Arduino;AWS;Linux;Microsoft Azure;Raspberry Pi,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,A few times per week,Neither easy nor difficult,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Flask;Spring,Flask;Spring,Just as welcome now as I felt last year,40,43,28
48,I am a developer by profession,No,38,30,Yearly,125000,125000,United States,United States dollar,USD,PostgreSQL;Redis,PostgreSQL;Redis,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Slightly dissatisfied,I am actively looking for a job,JavaScript;Ruby;SQL,JavaScript;Ruby;SQL,NA,NA,Github,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once every few years,No,No,Yes,Rarely: 1-2 days per year or less,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,MacOS,10 to 19 employees,AWS;Google Cloud Platform,AWS;Google Cloud Platform,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",Gatsby;Ruby on Rails,Gatsby;Ruby on Rails,NA,30,8,8
49,I am a developer by profession,No,23,15,Yearly,52000,52000,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,.NET;.NET Core,.NET;.NET Core,Microsoft Teams;Microsoft Azure,Microsoft Teams;Microsoft Azure,Yes,Extremely important,Somewhat important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once every few years,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Windows,100 to 499 employees,Microsoft Azure;Windows,Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;ASP.NET;ASP.NET Core,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40,8,4
50,I am a developer by profession,No,57,46,NA,NA,NA,Austria,European Euro,EUR,NA,MySQL,"Designer;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",NA,Man,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",NA,HTML/CSS;JavaScript;PHP;SQL,NA,NA,NA,NA,No,Not at all important,Not at all important/not necessary,Curious about other opportunities,NA,Once every few years,Yes,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",WordPress,WordPress,NA,NA,Yes,Neutral,Multiple times per day,Daily or almost daily,Neither easy nor difficult,Too long,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",jQuery,jQuery,Just as welcome now as I felt last year,35,10,9
51,I am a developer by profession,No,NA,10,Yearly,137000,103615,Canada,Canadian dollar,CAD,NA,PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,NA,NA,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",NA,JavaScript;Python;SQL;TypeScript,NA,NA,NA,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Somewhat important,Just because;Curious about other opportunities;Better compensation,NA,Once a year,NA,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,NA,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,100 to 499 employees,NA,AWS;Docker;Linux,I have some influence,NA,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Difficult,Too long,NA,I never declared a major,NA,Django;React.js,Just as welcome now as I felt last year,35,23,7
52,I am a developer by profession,No,28,15,Yearly,70000,90482,United Kingdom,Pound sterling,GBP,SQLite,Firebase;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Java;Kotlin,Java;Kotlin,NA,NA,Github;Gitlab;Slack,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Better work/life balance;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,MacOS,10 to 19 employees,Android,Android;iOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,35,11,6
53,I am a developer by profession,Yes,17,9,NA,NA,NA,United States,United States dollar,USD,NA,SQLite,"Academic researcher;Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin,Dart;HTML/CSS;Python,NA,Pandas;TensorFlow,NA,Github;Trello,NA,NA,Somewhat important,Just because;Better compensation;Trouble with leadership at my company;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once a year,Yes,Onboarding? What onboarding?,No,Never,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Do other work and come back later,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",NA,Google Cloud Platform,NA,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,NA,NA,Flask,A lot less welcome now than last year,5,8,3
54,I am a developer by profession,No,44,7,Yearly,160000,160000,United States,United States dollar,USD,NA,NA,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,"White or of European descent;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,NA,NA,Github;Gitlab,"Github;Gitlab;Microsoft Teams;Google Suite (Docs, Meet, etc)",No,Neutral,Very important,Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company,Once every few years,Not sure,No,No,Sometimes: 1-2 days per month but less than weekly,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity,Windows,"10,000 or more employees",NA,NA,I have little or no influence,NA,No,"No, not really",NA,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,jQuery,Somewhat more welcome now than last year,40,38,23
55,I am a student who is learning to code,No,NA,20,NA,NA,NA,United States,NA,NA,NA,MySQL,NA,"Associate degree (A.A., A.S., etc.)","Not employed, but looking for work",Black or of African descent,Man,Industry that I’d be working in;Diversity of the company or organization;Office environment or company culture,NA,I am actively looking for a job,C++;JavaScript;R,Python,NA,NA,NA,Github,NA,NA,NA,NA,NA,NA,Yes,NA,No,NA,NA,NA,Stack Overflow (public Q&A for anyone who codes),Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,NA,NA,IBM Cloud or Watson,NA,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,A few times per month or weekly,Easy,Appropriate in length,No,Mathematics or statistics,NA,NA,Just as welcome now as I felt last year,NA,2,NA
56,I am a developer by profession,Yes,27,21,NA,NA,NA,United States,United States dollar,USD,Elasticsearch,DynamoDB;MySQL;Redis,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Specific department or team I’d be working on;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Python;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Unity 3D;Unreal Engine,NA,Gitlab;Slack;Stack Overflow for Teams,Confluence;Jira;Github;Gitlab;Slack,Yes,Neutral,Somewhat important,Trouble with my direct manager;Trouble with leadership at my company,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,No,No,Never,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,500 to 999 employees,Docker;Kubernetes;Linux,Docker;Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Django,Symfony,Just as welcome now as I felt last year,40,6,4
57,I am a developer by profession,No,44,12,Monthly,135000,1620000,United States,United States dollar,USD,SQLite,SQLite,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Specific department or team I’d be working on;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#,C#;VBA,.NET;.NET Core,.NET,"Github;Trello;Google Suite (Docs, Meet, etc)","Github;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Just because;Curious about other opportunities,NA,Once a decade,Yes,Onboarding? What onboarding?,Yes,Rarely: 1-2 days per year or less,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,"10,000 or more employees",Android;Arduino;Windows,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,43,33,23
58,I am a developer by profession,Yes,NA,22,NA,NA,NA,India,Indian rupee,INR,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end",NA,"Independent contractor, freelancer, or self-employed",South Asian,NA,Family friendliness,Very satisfied,I am not interested in new job opportunities,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,.NET;.NET Core;Node.js,.NET;.NET Core;Node.js,Stack Overflow for Teams,Stack Overflow for Teams,Yes,Extremely important,Very important,NA,NA,Once every few years,NA,Yes,No,Often: 1-2 days per week or more,Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,NA,NA,NA,NA,NA,Yes,"Yes, definitely",NA,Multiple times per day,Neither easy nor difficult,Too long,NA,Web development or web design,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,NA,NA,NA,NA
59,I am a developer by profession,No,38,15,Monthly,6000,16488,Brazil,Brazilian real,BRL,Microsoft SQL Server,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,"Data or business analyst;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Industry that I’d be working in;Diversity of the company or organization;Remote work options,Slightly satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;Ruby,.NET,.NET;Node.js;Unity 3D,Github;Slack;Microsoft Teams;Microsoft Azure,Github;Slack;Trello,No,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,No,No,Never,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,500 to 999 employees,Microsoft Azure;Windows,Docker;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;jQuery,ASP.NET;jQuery;Laravel;Ruby on Rails,Just as welcome now as I felt last year,40,24,15
60,I am a student who is learning to code,Yes,NA,14,NA,NA,NA,Germany,NA,NA,NA,MariaDB;MySQL,NA,NA,Student,NA,NA,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,NA,I am not interested in new job opportunities,C#;HTML/CSS;Java;JavaScript;Perl;Python;Swift;VBA,C#;HTML/CSS;Java;JavaScript;Python;SQL,TensorFlow;Unity 3D,.NET;.NET Core;Unity 3D,NA,Trello,NA,NA,NA,NA,NA,Every few months,NA,NA,No,NA,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Linux-based,NA,Android;iOS;Linux;Raspberry Pi,Linux;Raspberry Pi,NA,NA,No,"No, not really",NA,A few times per month or weekly,Easy,Appropriate in length,No,NA,Django,NA,Just as welcome now as I felt last year,NA,2,NA
61,I am a developer by profession,Yes,31,12,Monthly,NA,NA,Mexico,Mexican peso,MXN,MongoDB;MySQL;SQLite,MySQL;SQLite,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Neither satisfied nor dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;SQL,Node.js;Unreal Engine,NA,NA,NA,No,Not very important,Not at all important/not necessary,Better compensation,NA,Once every few years,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Watch help / tutorial videos,Windows,2 to 9 employees,Linux;Windows,Linux;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Daily or almost daily,Easy,Too short,No,"Information systems, information technology, or system administration",Angular.js;jQuery;Laravel,Angular.js;jQuery,A lot less welcome now than last year,40,16,9
62,I am a student who is learning to code,No,20,11,NA,NA,NA,United Kingdom,NA,NA,Microsoft SQL Server;PostgreSQL;SQLite,Oracle;PostgreSQL;SQLite,NA,Some college/university study without earning a degree,Student,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",NA,"I’m not actively looking, but I am open to new opportunities",C#;Python;SQL,C#;C++;HTML/CSS;Java;Python;Ruby;SQL;Swift,.NET;.NET Core,.NET;.NET Core;Xamarin,Github,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once every few years,NA,NA,Yes,NA,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Panic,Windows,NA,Windows,Android;iOS;Linux;Windows,NA,Bisexual;Straight / Heterosexual,No,"No, not really",NA,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;jQuery;Ruby on Rails,NA,Just as welcome now as I felt last year,NA,7,NA
63,I am a student who is learning to code,Yes,21,17,NA,NA,NA,India,NA,NA,DynamoDB,Firebase;MongoDB;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, mobile;Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",South Asian,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,NA,I am actively looking for a job,Go;Kotlin;TypeScript,C;C++;HTML/CSS;Java;JavaScript;Python,Flutter;Node.js;React Native;TensorFlow,NA,Confluence;Stack Overflow for Teams,"Github;Facebook Workplace;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Yes,NA,No,NA,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,NA,AWS;Docker;Heroku;iOS,Android;Arduino;Google Cloud Platform;Raspberry Pi;Slack Apps and Integrations;Windows,NA,Straight / Heterosexual,Yes,Neutral,A few times per week,Daily or almost daily,Easy,Appropriate in length,No,NA,Angular.js;Django;jQuery;Laravel;Vue.js,NA,Not applicable - I did not use Stack Overflow last year,NA,4,NA
